country_name_ltn,level,nuts_id,nameSHORT,chart,value2plot
Czechia,regional,CZ07,Central Moravia,3,0.488
Czechia,regional,CZ08,Moravian Silesia,3,0.5282258064516129
Denmark,regional,DK01,Capital (region),3,0.6620553359683794
Denmark,regional,DK02,Zealand,3,0.6733067729083665
Denmark,regional,DK03,South Denmark,3,0.6924603174603174
Denmark,regional,DK04,Central Jutland,3,0.6673267326732674
Denmark,regional,DK05,North Jutland,3,0.6533864541832669
Estonia,regional,EE0,Estonia,3,0.5877277085330777
Finland,regional,FI19,West Finland,3,0.7345890410958904
Finland,regional,FI1B,Helsinki-Uusimaa,3,0.7112403100775194
Finland,regional,FI1C,South Finland,3,0.6869851729818781
Finland,regional,FI1D,North and East Finland,3,0.7254901960784313
France,regional,FR1,Île-de-France,3,0.578
France,regional,FRB,Centre-Val de Loire,3,0.6227544910179641
France,regional,FRC,Burgundy-Franche-Comté,3,0.556
France,regional,FRD,Normandy,3,0.5771543086172345
France,regional,FRE,Hauts-de-France,3,0.5602409638554217
France,regional,FRF,Grand Est,3,0.5461847389558233
France,regional,FRG,Loire Region,3,0.5963855421686747
France,regional,FRH,Brittany ,3,0.5862068965517241
France,regional,FRI,New Aquitaine,3,0.5301204819277109
France,regional,FRJ,Occitania,3,0.5633802816901409
France,regional,FRK,Auvergne-Rhône-Alpes,3,0.5241935483870968
France,regional,FRL,PACA,3,0.542
France,regional,FRM,Corsica ,3,0.5904255319148937
Germany,regional,DE1,Baden-Württemberg,3,0.4584139264990329
Germany,regional,DE2,Bavaria,3,0.4932821497120921
Germany,regional,DE3,Berlin,3,0.5622568093385214
Germany,regional,DE4,Brandenburg,3,0.43486590038314177
Germany,regional,DE5,Bremen,3,0.4766666666666667
Germany,regional,DE6,Hamburg,3,0.555992141453831
Germany,regional,DE7,Hessen,3,0.49903660886319845
Germany,regional,DE8,Mecklenburg-Vorpommern,3,0.44901960784313727
Germany,regional,DE9,Lower Saxony,3,0.525096525096525
Germany,regional,DEA,North Rhine-Westphalia,3,0.4932301740812379
Germany,regional,DEB,Rhineland-Palatinate,3,0.5076923076923077
